Year,Category,Full Name,Movie,Win
2018,Best Motion Picture - Drama,Bradley Cooper,"Star Is Born, A (2018)",FALSE
2018,Best Motion Picture - Drama,Ryan Coogler,Black Panther,FALSE
2018,Best Motion Picture - Musical or Comedy,Peter Farrelly,Green Book,TRUE
2018,Best Motion Picture - Musical or Comedy,Jon M. Chu,Crazy Rich Asians,FALSE
2018,Best Motion Picture - Musical or Comedy,Yorgos Lanthimos,"Favourite, The",FALSE
2018,Best Motion Picture - Musical or Comedy,Rob Marshall,Mary Poppins Returns,FALSE
2018,Best Motion Picture - Musical or Comedy,Adam McKay,Vice,FALSE
2018,Best Performance by an Actor in a Motion Picture - Drama,Rami Malek,Bohemian Rhapsody,TRUE
2018,Best Performance by an Actor in a Motion Picture - Drama,Bradley Cooper,"Star Is Born, A (2018)",FALSE
2018,Best Performance by an Actor in a Motion Picture - Drama,Willem Dafoe,At Eternity's Gate,FALSE
2018,Best Performance by an Actor in a Motion Picture - Drama,Lucas Hedges,Boy Erased,FALSE
2018,Best Performance by an Actor in a Motion Picture - Drama,John David Washington,BlacKkKlansman,FALSE
2018,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Christian Bale,Vice,TRUE
2018,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Lin-Manuel Miranda,Mary Poppins Returns,FALSE
2018,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Viggo Mortensen,Green Book,FALSE
2018,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert Redford,"Old Man & the Gun, The",FALSE
2018,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John C. Reilly,Stan & Ollie,FALSE
2018,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mahershala Ali,Green Book,TRUE
2018,Best Performance by an Actor in a Supporting Role in any Motion Picture,Timothée Chalamet,Beautiful Boy,FALSE
2018,Best Performance by an Actor in a Supporting Role in any Motion Picture,Adam Driver,BlacKkKlansman,FALSE
2018,Best Performance by an Actor in a Supporting Role in any Motion Picture,Richard E. Grant,Can You Ever Forgive Me?,FALSE
2018,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sam Rockwell,Vice,FALSE
2018,Best Performance by an Actress in a Motion Picture - Drama,Glenn Close,"Wife, The",TRUE
2018,Best Performance by an Actress in a Motion Picture - Drama,Lady Gaga,"Star Is Born, A (2018)",FALSE
2018,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,Destroyer,FALSE
2018,Best Performance by an Actress in a Motion Picture - Drama,Melissa McCarthy,Can You Ever Forgive Me?,FALSE
2018,Best Performance by an Actress in a Motion Picture - Drama,Rosamund Pike,"Private War, A",FALSE
2018,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Olivia Colman,"Favourite, The",TRUE
2018,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emily Blunt,Mary Poppins Returns,FALSE
